iter	Passed	Remaining
473	683	758
474	684	756
475	685	754
476	686	752
477	687	751
478	688	749
479	689	747
480	691	745
481	692	744
482	693	742
483	694	740
484	696	739
485	697	737
486	698	736
487	699	734
488	700	732
489	702	730
490	703	729
491	704	727
492	705	726
493	706	724
494	707	722
495	709	720
496	710	718
497	711	717
498	712	715
499	713	713
500	714	712
501	716	710
502	717	709
503	718	707
504	720	705
505	721	704
506	722	702
507	723	700
508	724	698
509	725	697
510	727	695
511	728	694
512	729	692
513	730	690
514	731	689
515	733	687
516	734	686
517	735	684
518	736	682
519	737	680
520	738	679
521	740	677
522	741	676
523	742	674
524	743	672
525	744	671
526	746	669
527	747	668
528	748	666
529	749	664
530	750	663
531	751	661
532	753	659
533	754	658
534	755	656
535	756	654
536	757	653
537	758	651
538	760	650
539	761	648
540	762	646
541	763	645
542	764	643
543	765	641
544	766	640
545	767	638
546	768	636
547	770	635
548	771	633
549	772	632
550	774	630
551	775	629
552	776	627
553	777	625
554	778	624
555	779	622
556	780	621
557	782	619
558	783	617
559	784	616
560	785	614
561	787	613
562	788	611
563	789	610
564	790	608
565	791	606
566	792	605
567	793	603
568	794	601
569	795	600
570	796	598
571	797	596
572	798	595
573	799	593
574	800	591
575	802	590
576	803	588
577	804	587
578	805	585
579	806	584
580	808	582
581	809	581
582	810	579
583	811	577
584	811	576
585	812	574
586	813	572
587	814	570
588	816	569
589	817	568
590	818	566
591	819	565
592	821	563
593	822	562
594	823	560
595	824	559
596	825	557
597	826	555
598	828	554
599	829	552
600	830	551
601	831	549
602	833	548
603	834	546
604	835	545
605	836	543
606	837	542
607	838	540
608	839	539
609	840	537
610	841	535
611	842	534
612	843	532
613	844	531
614	845	529
615	847	528
616	848	526
617	849	525
618	851	523
619	852	522
620	853	520
621	854	519
622	855	517
623	856	516
624	857	514
625	858	512
626	859	511
627	860	509
628	861	508
629	862	506
630	864	505
631	865	503
632	866	502
633	867	500
634	868	499
635	869	497
636	870	496
637	871	494
638	872	492
639	873	491
640	875	490
641	876	488
642	877	487
643	878	485
644	879	484
645	880	482
646	881	481
647	882	479
648	883	478
649	884	476
650	885	474
651	886	473
652	888	471
653	889	470
654	890	468
655	891	467
656	892	466
657	894	464
658	895	463
659	896	461
660	897	460
661	898	458
662	899	457
663	900	455
664	901	454
665	902	452
666	903	451
667	904	449
668	905	448
669	906	446
670	907	445
671	908	443
672	909	442
673	911	440
674	912	439
675	913	437
676	914	436
677	915	434
678	916	433
679	918	432
680	919	430
681	920	429
682	921	427
683	922	426
684	923	424
685	924	423
686	926	421
687	927	420
688	928	418
689	929	417
690	930	416
691	931	414
692	932	413
693	933	411
694	934	410
695	936	408
696	937	407
697	938	406
698	939	404
699	940	403
700	942	401
701	943	400
702	944	398
703	945	397
704	946	396
705	947	394
706	948	393
707	949	391
708	950	390
709	951	388
710	952	387
711	953	385
712	954	384
713	956	382
714	957	381
715	957	379
716	959	378
717	960	377
718	961	375
719	962	374
720	963	372
721	963	371
722	965	369
723	965	368
724	966	366
725	968	365
726	969	364
727	971	362
728	972	361
729	973	359
730	974	358
731	975	357
732	976	355
733	977	354
734	978	352
735	979	351
736	980	349
737	981	348
738	982	346
739	983	345
740	984	344
741	985	342
742	986	341
743	987	339
744	988	338
745	989	337
746	990	335
747	992	334
748	993	332
749	993	331
750	994	329
751	995	328
752	996	327
753	998	325
754	999	324
755	1000	322
756	1001	321
757	1002	320
758	1003	318
759	1004	317
760	1005	315
761	1006	314
762	1007	313
763	1008	311
764	1009	310
765	1010	308
766	1012	307
767	1013	306
768	1014	304
769	1015	303
770	1016	302
771	1018	300
772	1019	299
773	1020	297
774	1021	296
775	1022	295
776	1024	293
777	1025	292
778	1026	291
779	1027	289
780	1028	288
781	1030	287
782	1031	285
783	1032	284
784	1033	283
785	1034	281
786	1035	280
787	1036	278
788	1037	277
789	1038	276
790	1039	274
791	1040	273
792	1041	271
793	1042	270
794	1043	269
795	1045	267
796	1046	266
797	1047	265
798	1048	263
799	1049	262
800	1050	261
801	1051	259
802	1052	258
803	1053	256
804	1054	255
805	1055	254
806	1056	252
807	1057	251
808	1058	249
809	1060	248
810	1061	247
811	1062	246
812	1064	244
813	1065	243
814	1066	242
815	1068	240
816	1070	239
817	1071	238
818	1072	236
819	1073	235
820	1074	234
821	1075	232
822	1076	231
823	1077	230
824	1078	228
825	1079	227
826	1080	226
827	1081	224
828	1083	223
829	1084	222
830	1085	220
831	1086	219
832	1087	218
833	1088	216
834	1090	215
835	1091	214
836	1092	212
837	1093	211
838	1094	210
839	1095	208
840	1096	207
841	1097	205
842	1098	204
843	1099	203
844	1100	201
845	1102	200
846	1103	199
847	1104	197
848	1105	196
849	1107	195
850	1108	194
851	1109	192
852	1110	191
853	1111	190
854	1112	188
855	1113	187
856	1114	186
857	1115	184
858	1117	183
859	1118	182
860	1119	180
861	1120	179
862	1121	178
863	1122	176
864	1123	175
865	1124	173
866	1125	172
867	1126	171
868	1127	169
869	1128	168
870	1129	167
871	1130	165
872	1131	164
873	1132	163
874	1133	161
875	1134	160
876	1135	159
877	1136	157
878	1137	156
879	1138	155
880	1140	153
881	1141	152
882	1142	151
883	1143	149
884	1144	148
885	1145	147
886	1146	146
887	1147	144
888	1148	143
889	1149	142
890	1150	140
891	1152	139
892	1153	138
893	1154	136
894	1155	135
895	1156	134
896	1157	132
897	1158	131
898	1159	130
899	1160	128
900	1161	127
901	1162	126
902	1163	125
903	1164	123
904	1166	122
905	1167	121
906	1168	119
907	1169	118
908	1170	117
909	1171	115
910	1172	114
911	1173	113
912	1174	111
913	1175	110
914	1176	109
915	1178	108
916	1179	106
917	1180	105
918	1181	104
919	1182	102
920	1183	101
921	1184	100
922	1185	98
923	1186	97
924	1187	96
925	1188	94
926	1189	93
927	1190	92
928	1191	91
929	1193	89
930	1194	88
931	1195	87
932	1196	85
933	1197	84
934	1198	83
935	1199	82
936	1201	80
937	1202	79
938	1203	78
939	1204	76
940	1205	75
941	1207	74
942	1208	73
943	1209	71
944	1210	70
945	1211	69
946	1212	67
947	1213	66
948	1215	65
949	1216	64
950	1217	62
951	1217	61
952	1219	60
953	1219	58
954	1221	57
955	1222	56
956	1223	54
957	1224	53
958	1225	52
959	1226	51
960	1228	49
961	1229	48
962	1230	47
963	1231	45
964	1232	44
965	1233	43
966	1234	42
967	1235	40
968	1236	39
969	1237	38
970	1238	36
971	1239	35
972	1240	34
973	1241	33
974	1242	31
975	1243	30
976	1244	29
977	1245	28
978	1246	26
979	1247	25
980	1248	24
981	1249	22
982	1251	21
983	1252	20
984	1253	19
985	1254	17
986	1255	16
987	1256	15
988	1257	13
989	1258	12
990	1260	11
991	1261	10
992	1262	8
993	1263	7
994	1264	6
995	1265	5
996	1266	3
997	1267	2
998	1268	1
999	1269	0
